url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5257,5257,Ogden Junior Public School,178,179,115,64,,88,91,120,23,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5258,5258,Orde Street Public School,365,365,215,105,45,181,184,225,76,54
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5294,5294,Oriole Park Junior Public School,246,246,189,,,117,128,88,9,32
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5295,5295,Ossington/Old Orchard Junior Public School,264,264,152,112,,123,140,26,6,5
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3214,3214,Owen Public School,482,482,323,159,,240,242,333,43,47
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5259,5259,Palmerston Avenue Junior Public School,374,374,232,142,,175,198,65,12,9
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5260,5260,Pape Avenue Junior Public School,337,337,216,121,,167,169,114,4,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3223,3223,Park Lane Public School,60,61,,6,49,28,33,30,0,5
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2011,2011,Park Lawn Junior Middle School,543,543,204,162,177,269,274,192,23,40
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5262,5262,Parkdale Junior and Senior Public School,536,536,263,162,111,249,285,260,11,26
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2004,2004,Parkfield Junior School,309,309,240,,,141,168,173,70,35
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1151,1151,Parkside Elementary School,197,197,142,,,101,96,72,6,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4700,4700,Pauline Johnson Junior Public School,343,343,229,114,,161,182,234,21,25
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5263,5263,Pauline Junior Public School,178,178,129,49,,89,89,102,5,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3226,3226,Pelmo Park Public School,279,279,221,,,136,143,107,11,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4701,4701,Percy Williams Junior Public School,324,324,209,115,,147,177,249,3,16
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5264,5264,Perth Avenue Junior Public School,516,517,357,160,,261,252,144,3,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3213,3213,Pierre Laporte Middle School,400,400,,,,179,221,242,19,40
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3228,3228,Pineway Public School,158,162,85,,,66,96,105,5,13
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3230,3230,Pleasant Public School,348,348,180,168,,176,172,304,39,45
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3337,3337,Pleasant View Middle School,341,341,,,,170,171,239,46,38
